,ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,D_min,D_max,D_std,M_MOROSO,MONTO,SEGURO,FUGA,D_Marzo2,D_Abril2,D_Mayo2,D_Junio2,D_Julio2,D_Agosto2,D_Septiembre2,VM_AbrilMarzo,VM_MayoAbril,VM_JunioMayo,VM_JulioJunio,VM_AgostoJulio,VM_SeptiembreAgosto,logVM_AbrilMarzo,Monto_Total_Deuda,logMTD,Frecuencia
17,18,0,808822,43,18,1,31,119,0,14243,0,0,147,0,0,147.0,14243.0,5374,2,4500000,NO,FUGA,1,14244,1,1,148,1,1,14244.0,7.020499859590003e-05,1.0,148.0,0.006756756756756757,1.0,9.56416124693201,14390,9.574358290170174,2
18,19,0,47223,54,18,1,152,88,0,6266,0,2804,119,0,138,119.0,6266.0,2405,1,4800000,NO,FUGA,1,6267,1,2805,120,1,139,6267.0,0.00015956598053295037,2805.0,0.0427807486631016,0.008333333333333333,139.0,8.74321260347591,9327,9.140775908590273,4
19,20,1,23976,41,12,2,16,85,0,42045,0,82508,434,0,50,50.0,82508.0,32511,1,1800000,SI,NO FUGA,1,42046,1,82509,435,1,51,42046.0,2.3783475241402274e-05,82509.0,0.00527215212885867,0.0022988505747126436,51.0,10.646543319217491,125037,11.736372970085801,4
20,21,1,19886,54,14,2,19,88,0,300817,0,0,585,0,0,585.0,300817.0,113661,1,700000,SI,NO FUGA,1,300818,1,1,586,1,1,300818.0,3.3242691594253005e-06,1.0,586.0,0.0017064846416382253,1.0,12.614264033956621,301402,12.616203518675096,2
21,22,1,560302,47,12,1,138,1,0,0,0,0,9,0,0,9.0,9.0,3,1,2400000,NO,FUGA,1,1,1,1,10,1,1,1.0,1.0,1.0,10.0,0.1,1.0,0.6931471805599453,9,2.302585092994046,1
22,23,0,9394,51,12,1,31,119,255678,134779,0,59821,1028,10366,9138,1028.0,255678.0,96299,1,1100000,NO,FUGA,255679,134780,1,59822,1029,10367,9139,0.5271453658689216,7.419498441905327e-06,59822.0,0.01720102972150714,10.07482993197279,0.8815472171312819,0.423400218738238,470810,13.062212018581295,6
23,24,0,537818,29,14,1,27,226,0,104472,0,0,2,0,0,2.0,104472.0,39486,1,2200000,NO,FUGA,1,104473,1,1,3,1,1,104473.0,9.571851100284284e-06,1.0,3.0,0.3333333333333333,1.0,11.556693515602444,104474,11.556703087316116,2
24,25,1,248276,49,14,1,77,227,0,733019,0,0,20,0,376,20.0,733019.0,277030,1,1100000,NO,NO FUGA,1,733020,1,1,21,1,377,733020.0,1.3642192573190363e-06,1.0,21.0,0.047619047619047616,377.0,13.504929629844487,733415,13.505468350579921,3
25,26,1,226727,29,12,1,13,16,387756,167023,0,0,377,0,0,377.0,387756.0,149567,1,1000000,NO,NO FUGA,387757,167024,1,1,378,1,1,0.4307439968846468,5.987163521410097e-06,1.0,378.0,0.0026455026455026454,1.0,0.358194586516093,555156,13.227006235607636,3
26,27,0,581593,46,14,4,55,108,0,504107,0,189115,0,0,174,174.0,504107.0,192008,0,8000000,NO,NO FUGA,1,504108,1,189116,1,1,175,504108.0,1.98370190514731e-06,189116.0,5.287759893398761e-06,1.0,175.0,13.130547793511825,693396,13.449357985716635,3
27,28,0,171798,52,18,1,31,119,0,97745,0,0,0,0,4921,4921.0,97745.0,36680,1,2200000,SI,FUGA,1,97746,1,1,1,1,4922,97746.0,1.023059767151597e-05,1.0,1.0,1.0,4922.0,11.490137786839563,102666,11.539246020035577,2
28,29,0,1714426,43,18,1,16,80,0,212011,0,0,0,0,21,21.0,212011.0,80131,1,4200000,NO,FUGA,1,212012,1,1,1,1,22,212012.0,4.716714148255759e-06,1.0,1.0,1.0,22.0,12.264402872528827,212032,12.264497201917688,2
29,30,1,14423,39,14,2,60,253,0,435093,0,240380,41,2673,383,41.0,435093.0,173837,3,8000000,SI,NO FUGA,1,435094,1,240381,42,2674,384,435094.0,2.298353918923267e-06,240381.0,0.00017472262782832255,63.666666666666664,0.14360508601346297,12.983319677031618,678570,13.427744395376363,5
30,31,0,1126011,37,14,1,52,86,0,533076,0,0,0,17581,0,17581.0,533076.0,200483,0,8000000,NO,NO FUGA,1,533077,1,1,1,17582,1,533077.0,1.8759016052090036e-06,1.0,1.0,17582.0,5.687635081333182e-05,13.186423033904529,550657,13.21886920577231,2
31,32,0,26796,41,18,3,138,1,284901,587892,0,218068,500,1367,502,500.0,587892.0,224946,2,3500000,NO,FUGA,284902,587893,1,218069,501,1368,503,2.0634920077781134,1.7009898059680929e-06,218069.0,0.0022974379668820417,2.730538922155689,0.3676900584795322,1.1195554443269338,1093230,13.904648089750717,6
32,33,1,249559,27,12,1,116,131,228929,0,0,0,6,0,0,6.0,228929.0,86526,1,3700000,NO,NO FUGA,228930,1,1,1,7,1,1,4.368147468658542e-06,1.0,1.0,7.0,0.14285714285714285,1.0,4.368137928296867e-06,228935,12.341197767493155,2
33,34,0,2508956,44,12,1,55,90,623615,1681538,0,0,3201,0,57256,3201.0,1681538.0,635125,3,4600000,SI,FUGA,623616,1681539,1,1,3202,1,57257,2.6964333820812807,5.946933136846662e-07,1.0,3202.0,0.0003123048094940662,57257.0,1.30736840396199,2365610,14.676546897492685,4
34,35,0,147751,46,12,1,31,119,0,175864,0,0,47,0,0,47.0,175864.0,66467,1,1700000,SI,FUGA,1,175865,1,1,48,1,1,175865.0,5.686179740141586e-06,1.0,48.0,0.020833333333333332,1.0,12.077477620399433,175911,12.077739148978607,2
35,36,0,234552,52,18,1,31,119,0,0,0,0,313,0,0,313.0,313.0,118,1,2200000,NO,FUGA,1,1,1,1,314,1,1,1.0,1.0,1.0,314.0,0.0031847133757961785,1.0,0.6931471805599453,313,5.749392985908253,1
36,37,1,189901,46,12,1,92,92,0,5622,0,160007,106,0,23,23.0,160007.0,60150,1,2000000,NO,FUGA,1,5623,1,160008,107,1,24,5623.0,0.00017784101013693757,160008.0,0.0006687165641717914,0.009345794392523364,24.0,8.6347984334905,165758,12.018290205216525,4
37,38,0,1233336,44,18,1,55,90,193646,15527,0,0,836,0,0,836.0,193646.0,72387,2,3000000,NO,FUGA,193647,15528,1,1,837,1,1,0.08018714464980092,6.439979392065946e-05,1.0,837.0,0.0011947431302270011,1.0,0.07713430820767139,210009,12.254910427613474,3
38,39,0,22984,46,18,1,102,87,0,1582,0,222249,28,3261,190,28.0,222249.0,83692,1,5400000,SI,FUGA,1,1583,1,222250,29,3262,191,1583.0,0.0006317119393556538,222250.0,0.00013048368953880765,112.48275862068965,0.05855303494788473,7.367708572374371,227310,12.33407440286237,5
39,40,1,200685,51,12,1,124,253,0,1803351,0,79,2281,6308,0,79.0,1803351.0,681060,2,800000,NO,NO FUGA,1,1803352,1,80,2282,6309,1,1803352.0,5.545229106685772e-07,80.0,28.525,2.764680105170903,0.0001585037248375337,14.405158267825216,1812019,14.409952803051743,4
40,41,1,292141,27,18,1,125,89,0,0,0,36122,0,0,2,2.0,36122.0,13652,0,4000000,NO,NO FUGA,1,1,1,36123,1,1,3,1.0,1.0,36123.0,2.768319353320599e-05,1.0,3.0,0.6931471805599453,36124,10.494740425414733,2
41,42,0,582881,28,14,2,37,98,0,178223,0,0,107,0,0,107.0,178223.0,67355,2,1400000,NO,FUGA,1,178224,1,1,108,1,1,178224.0,5.610916599335668e-06,1.0,108.0,0.009259259259259259,1.0,12.09080207598583,178330,12.091396653012287,2
42,43,0,41095,40,18,1,55,90,0,9063,865877,0,0,20,248,20.0,865877.0,326700,1,1900000,NO,FUGA,1,9064,865878,1,1,21,249,9064.0,95.5293468667255,1.1548971102164508e-06,1.0,21.0,11.857142857142858,9.112176123188952,875208,13.682217993960784,4
43,44,1,247458,49,18,1,138,1,364846,90577,0,78091,894,0,82,82.0,364846.0,133294,1,900000,NO,FUGA,364847,90578,1,78092,895,1,83,0.24826297050544474,1.1040208439135331e-05,78092.0,0.011460841059263432,0.0011173184357541898,83.0,0.22175296129628413,534490,13.189070171138964,5
44,45,0,123985,49,18,1,138,1,0,298173,0,99446,0,0,10,10.0,298173.0,112701,1,3400000,SI,FUGA,1,298174,1,99447,1,1,11,298174.0,3.35374647018184e-06,99447.0,1.0055607509527689e-05,1.0,11.0,12.60543584144687,397629,12.89327720363444,3
45,46,0,4973,54,12,2,27,226,0,0,0,144490,0,2298,207,207.0,144490.0,54460,1,2000000,NO,FUGA,1,1,1,144491,1,2299,208,1.0,1.0,144491.0,6.920846281083251e-06,2299.0,0.09047411918225315,0.6931471805599453,146995,11.898160654506297,3
46,47,1,2170313,38,18,1,21,502,0,431838,0,0,35,0,0,35.0,431838.0,163217,1,8000000,NO,NO FUGA,1,431839,1,1,36,1,1,431839.0,2.315677833637073e-06,1.0,36.0,0.027777777777777776,1.0,12.975810428251831,431873,12.975889158016585,2
47,48,0,628289,47,18,1,127,104,0,344058,0,0,105,0,0,105.0,344058.0,130035,2,3400000,NO,FUGA,1,344059,1,1,106,1,1,344059.0,2.9064782493700206e-06,1.0,106.0,0.009433962264150943,1.0,12.748571339751031,344163,12.748873566935178,2
48,49,0,34232,45,18,1,122,115,0,118236,0,296748,697,35,144,35.0,296748.0,113529,2,1300000,SI,FUGA,1,118237,1,296749,698,36,145,118237.0,8.457589417864121e-06,296749.0,0.002352156199346923,0.05157593123209169,4.027777777777778,11.680454821289311,415860,12.938106348792607,5
49,50,0,625999,55,14,1,16,90,0,0,0,2077,348,0,415,348.0,2077.0,758,1,5700000,NO,FUGA,1,1,1,2078,349,1,416,1.0,1.0,2078.0,0.16794995187680462,0.0028653295128939827,416.0,0.6931471805599453,2840,7.951911381854188,3
50,51,0,27754,46,18,1,55,90,645645,859109,0,0,360,0,0,360.0,859109.0,372223,1,4100000,NO,FUGA,645646,859110,1,1,361,1,1,1.3306208045895118,1.1639952974589982e-06,1.0,361.0,0.002770083102493075,1.0,0.8461346718268338,1505114,14.224379865206,3
51,52,0,213994,40,14,1,30,98,458385,1693416,0,371623,1791,0,671,671.0,1693416.0,619736,3,1900000,NO,NO FUGA,458386,1693417,1,371624,1792,1,672,3.6943034909443133,5.905220037356422e-07,371624.0,0.004822078229608421,0.0005580357142857143,672.0,1.546349750418525,2525886,14.742102846133433,5
52,53,1,53632,53,12,2,80,110,0,0,0,0,0,0,49,49.0,49.0,18,0,8000000,SI,NO FUGA,1,1,1,1,1,1,50,1.0,1.0,1.0,1.0,1.0,50.0,0.6931471805599453,49,3.912023005428146,1
53,54,1,6878013,26,14,4,22,1,0,189575,0,41218,1,0,0,1.0,189575.0,70743,1,1600000,NO,NO FUGA,1,189576,1,41219,2,1,1,189576.0,5.2749293159471665e-06,41219.0,4.852131298672942e-05,0.5,1.0,12.15255055342777,230794,12.349285149603256,3
54,55,0,12215,55,12,1,55,90,142855,209317,0,21778,1002,0,0,1002.0,209317.0,86228,1,3300000,NO,FUGA,142856,209318,1,21779,1003,1,1,1.4652377219017751,4.777420002102065e-06,21779.0,0.04605353781165343,0.0009970089730807576,1.0,0.9022882417501065,374952,12.834555963764336,4
55,56,0,818993,44,18,1,138,1,462287,22546,0,805760,742,0,480,480.0,805760.0,322766,1,1400000,SI,FUGA,462288,22547,1,805761,743,1,481,0.048772626587754817,4.435179846542777e-05,805761.0,0.0009221096578265764,0.0013458950201884253,481.0,0.04762055338204514,1291815,14.071559538322044,5
56,57,0,456419,29,14,2,60,287,0,177279,0,79727,0,0,158,158.0,177279.0,68722,0,1700000,NO,NO FUGA,1,177280,1,79728,1,1,159,177280.0,5.6407942238267145e-06,79728.0,1.2542644992976119e-05,1.0,159.0,12.08549132331937,257164,12.457473181214842,3
57,58,0,2186611,49,12,3,123,90,0,77397,0,5089688,2707,12610,2000,2000.0,5089688.0,1917957,2,8000000,NO,FUGA,1,77398,1,5089689,2708,12611,2001,77398.0,1.2920230496912066e-05,5089689.0,0.0005320560843697916,4.6569423929098965,0.1586710015066212,11.256729139597715,5184402,15.461165253190243,5
58,59,1,19520,52,12,2,12,13,0,8939,0,0,174,0,278,174.0,8939.0,3351,1,1800000,SI,NO FUGA,1,8940,1,1,175,1,279,8940.0,0.00011185682326621924,1.0,175.0,0.005714285714285714,279.0,9.098402718735318,9391,9.147613542067878,3
59,60,0,40575,46,18,1,90,100,0,1141924,0,724982,3,0,0,3.0,1141924.0,471112,2,4600000,NO,FUGA,1,1141925,1,724983,4,1,1,1141925.0,8.757142544387766e-07,724983.0,5.517370752141774e-06,0.25,1.0,13.948226868499624,1866909,14.439795215684372,3
60,61,0,4539866,44,18,1,53,93,0,229320,0,0,0,0,7,7.0,229320.0,86674,1,4200000,NO,FUGA,1,229321,1,1,1,1,8,229321.0,4.360699630648741e-06,1.0,1.0,1.0,8.0,12.34288240842158,229327,12.342908572162997,2
61,62,0,2823360,43,18,1,24,88,0,809182,0,45608,131,31748,303,131.0,809182.0,301517,1,5000000,NO,FUGA,1,809183,1,45609,132,31749,304,809183.0,1.2358143955075675e-06,45609.0,0.0028941656252055516,240.52272727272728,0.009575104727707959,13.603781611465319,886972,13.69556982114409,5
62,63,0,299679,50,18,1,85,88,0,38550,0,305418,42,0,0,42.0,305418.0,113915,1,7200000,NO,FUGA,1,38551,1,305419,43,1,1,38551.0,2.593966434074343e-05,305419.0,0.00014079019314449986,0.023255813953488372,1.0,10.559763258320169,344010,12.748428912588476,3
63,64,1,136906,35,14,1,92,88,0,246905,0,93940,30,3213,207,30.0,246905.0,93864,1,2400000,NO,NO FUGA,1,246906,1,93941,31,3214,208,246906.0,4.050124338817202e-06,93941.0,0.0003299943581609734,103.6774193548387,0.06471686372121967,12.416767026490708,344295,12.749257031483932,5
64,65,0,352529,26,18,2,25,89,0,99092,0,140192,384,0,273,273.0,140192.0,59510,1,600000,NO,NO FUGA,1,99093,1,140193,385,1,274,99093.0,1.0091530178721e-05,140193.0,0.002746214147639326,0.0025974025974025974,274.0,11.503824173581025,239941,12.388152506451368,4
65,66,0,1001768,40,18,3,138,1,1416442,752132,0,591974,4085,0,835,835.0,1416442.0,552255,2,6900000,NO,FUGA,1416443,752133,1,591975,4086,1,836,0.5310012474910745,1.3295520871973442e-06,591975.0,0.0069023185100722155,0.0002447381302006853,836.0,0.4259219314962955,2765468,14.832720798807848,5
66,67,0,846188,40,18,3,16,89,1515606,2334,0,27996,4707,17750,66,66.0,1515606.0,569612,2,4400000,NO,FUGA,1515607,2335,1,27997,4708,17751,67,0.0015406368537490259,0.00042826552462526765,27997.0,0.16816087437939778,3.7703908241291417,0.0037744352430848964,0.001539451290316985,1568459,14.265604804215643,6
67,68,0,14787,44,18,1,55,90,0,650804,0,0,0,0,0,650804.0,650804.0,245980,1,2100000,NO,FUGA,1,650805,1,1,1,1,1,650805.0,1.5365585697712832e-06,1.0,1.0,1.0,1.0,13.38596687370677,650804,13.385965337149381,1
68,69,0,748468,40,18,1,55,90,0,1293,154112,157560,120,0,618,120.0,157560.0,75849,2,1300000,SI,FUGA,1,1294,154113,157561,121,1,619,1294.0,119.09814528593509,1.0223731936955351,0.0007679565374680283,0.008264462809917356,619.0,7.166265974133638,313703,12.656205145133498,5
69,70,1,6190393,37,14,2,20,326,0,399081,0,0,85,2324,0,85.0,399081.0,150689,1,1700000,NO,NO FUGA,1,399082,1,1,86,2325,1,399082.0,2.5057506978515692e-06,1.0,86.0,27.03488372093023,0.00043010752688172043,12.896924694288955,401490,12.902940396177488,3
70,71,0,94563,47,14,1,138,1,0,46133,0,0,0,0,14864,14864.0,46133.0,17405,1,2200000,SI,FUGA,1,46134,1,1,1,1,14865,46134.0,2.1675987341223392e-05,1.0,1.0,1.0,14865.0,10.739327160012657,60997,11.0185963557327,2
71,72,1,276824,57,18,1,90,89,0,396782,0,0,224,0,1,1.0,396782.0,149955,1,3200000,NO,NO FUGA,1,396783,1,1,225,1,2,396783.0,2.5202692655683333e-06,1.0,225.0,0.0044444444444444444,2.0,12.891147330999232,397007,12.891711710599797,3
72,73,0,566334,45,18,1,31,119,0,206772,0,0,433,0,0,433.0,206772.0,78125,1,1700000,NO,FUGA,1,206773,1,1,434,1,1,206773.0,4.836221363524252e-06,1.0,434.0,0.002304147465437788,1.0,12.239381688373827,207205,12.241468746477162,2
73,74,0,279245,44,12,1,84,105,0,6476,0,78523,328,481,279,279.0,78523.0,29295,2,3200000,NO,FUGA,1,6477,1,78524,329,482,280,6477.0,0.0001543924656476764,78524.0,0.00418980184402221,1.465045592705167,0.5809128630705395,8.776167099731275,86087,11.363125307880228,5
74,75,0,288328,44,18,1,29,89,240688,291357,0,0,865,4693,0,865.0,291357.0,130098,2,900000,NO,NO FUGA,240689,291358,1,1,866,4694,1,1.2105164756179136,3.432203680695227e-06,1.0,866.0,5.4203233256351036,0.00021303792074989347,0.793226187600838,537603,13.194877508639587,4
75,76,0,113021,44,14,2,104,93,0,0,0,61195,0,627,0,627.0,61195.0,23091,0,2400000,NO,NO FUGA,1,1,1,61196,1,628,1,1.0,1.0,61196.0,1.6340937316164456e-05,628.0,0.0015923566878980893,0.6931471805599453,61822,11.032030742493134,2
76,77,0,5363140,44,18,1,55,90,221828,17596,0,4673,784,0,0,784.0,221828.0,82636,2,900000,NO,FUGA,221829,17597,1,4674,785,1,1,0.07932686889450884,5.6827868386656816e-05,4674.0,0.16795036371416347,0.0012738853503184713,1.0,0.07633757728080191,244881,12.408531740851542,4
77,78,0,229710,28,14,2,18,83,0,274243,0,10664,156,0,1,1.0,274243.0,103048,1,1800000,NO,FUGA,1,274244,1,10665,157,1,2,274244.0,3.6463878881579907e-06,10665.0,0.014721050164088138,0.006369426751592357,2.0,12.521777146430715,285064,12.560472503422178,4
78,79,0,473025,42,18,1,19,115,0,115101,0,0,6,0,67,6.0,115101.0,43499,1,8000000,NO,NO FUGA,1,115102,1,1,7,1,68,115102.0,8.687946343243384e-06,1.0,7.0,0.14285714285714285,68.0,11.653582658662227,115174,11.654207989804117,3
79,80,0,491374,60,12,1,149,108,0,108472,0,87170,0,0,75,75.0,108472.0,48118,0,3700000,NO,NO FUGA,1,108473,1,87171,1,1,76,108473.0,9.218883961907572e-06,87171.0,1.1471705039520024e-05,1.0,76.0,11.59426579191007,195717,12.184430126671103,3
80,81,0,2251807,30,12,2,101,88,0,873822,0,314751,1159,0,67,67.0,873822.0,331763,1,8000000,NO,NO FUGA,1,873823,1,314752,1160,1,68,873823.0,1.1443965196613044e-06,314752.0,0.0036854412362749083,0.0008620689655172414,68.0,13.680634261361696,1189799,13.989295783735942,4
81,82,1,1851839,37,14,2,73,86,0,424439,0,0,0,24243,0,24243.0,424439.0,159152,0,3900000,NO,NO FUGA,1,424440,1,1,1,24244,1,424440.0,2.3560456130430684e-06,1.0,1.0,24244.0,4.124731892426992e-05,12.958528288030363,448682,13.01407190401656,2
82,83,1,42526,29,14,2,37,88,0,332017,0,19540,188,0,19,19.0,332017.0,124459,1,1900000,SI,NO FUGA,1,332018,1,19541,189,1,20,332018.0,3.0118848978067456e-06,19541.0,0.009671971751701551,0.005291005291005291,20.0,12.712947475176776,351764,12.77071861799065,4
83,84,0,290261,28,12,2,15,513,0,587190,0,0,5,14251,56,5.0,587190.0,221099,1,1900000,NO,NO FUGA,1,587191,1,1,6,14252,57,587191.0,1.7030233774019015e-06,1.0,6.0,2375.3333333333335,0.003999438675273646,13.283107132211434,601502,13.307186801915606,4
84,85,0,1690612,32,14,2,90,80,0,420275,0,108064,0,0,59423,59423.0,420275.0,154103,0,8000000,NO,NO FUGA,1,420276,1,108065,1,1,59424,420276.0,2.3793887826095234e-06,108065.0,9.253689908851154e-06,1.0,59424.0,12.948669296678824,587762,13.284079084405265,3
85,86,0,2717617,44,12,1,55,90,451869,78570,0,0,1012,4690,0,1012.0,451869.0,167987,2,550000,NO,FUGA,451870,78571,1,1,1013,4691,1,0.1738796556531746,1.2727342149138996e-05,1.0,1013.0,4.630799605133268,0.00021317416329140907,0.1603142081900837,536141,13.192154330339543,4
86,87,0,1387024,53,14,1,84,85,0,0,0,0,719,2640,126,126.0,2640.0,980,2,8000000,NO,NO FUGA,1,1,1,1,720,2641,127,1.0,1.0,1.0,720.0,3.6680555555555556,0.048087845513063235,0.6931471805599453,3485,8.156510226079966,3
87,88,1,646488,47,14,1,40,71,0,186218,0,524,112,0,2436,112.0,186218.0,70195,2,8000000,NO,NO FUGA,1,186219,1,525,113,1,2437,186219.0,5.370021318984637e-06,525.0,0.21523809523809523,0.008849557522123894,2437.0,12.134684049442521,189290,12.151040792485565,4
88,89,0,701143,43,18,1,152,89,0,393843,0,389187,3285,0,936,936.0,393843.0,190636,3,2600000,NO,FUGA,1,393844,1,389188,3286,1,937,393844.0,2.5390763855739836e-06,389188.0,0.008443220243172966,0.00030432136335970786,937.0,12.883712709862362,787251,13.576303679449088,4
89,90,1,481863,57,12,1,34,88,0,70088,0,22567,108,0,7,7.0,70088.0,26432,1,2400000,NO,NO FUGA,1,70089,1,22568,109,1,8,70089.0,1.4267574084378433e-05,22568.0,0.004829847571783056,0.009174311926605505,8.0,11.15753540949437,92770,11.437889369935991,4
90,91,1,72123,36,14,2,116,131,1381010,14626,0,0,2119,6621,380,380.0,1381010.0,520503,1,1100000,SI,NO FUGA,1381011,14627,1,1,2120,6622,381,0.01059151592565157,6.83667190811513e-05,1.0,2120.0,3.1235849056603775,0.05753548776804591,0.010535818753999952,1404756,14.155374892055105,5
91,92,0,4995,41,12,1,55,90,0,227829,0,554883,0,0,5408,5408.0,554883.0,212562,1,7200000,SI,FUGA,1,227830,1,554884,1,1,5409,227830.0,4.3892375894307155e-06,554884.0,1.8021784733385716e-06,1.0,5409.0,12.336359405021053,788120,13.577406910351407,3
92,93,1,71843,46,18,1,138,1,0,597029,0,0,330,383,0,330.0,597029.0,225610,1,6100000,SI,FUGA,1,597030,1,1,331,384,1,597030.0,1.6749577073178903e-06,1.0,331.0,1.1601208459214503,0.0026041666666666665,13.299724317324774,597742,13.300916174670656,3
93,94,1,517060,55,18,2,24,80,0,59487,0,157138,130,0,0,130.0,157138.0,59887,1,2200000,NO,FUGA,1,59488,1,157139,131,1,1,59488.0,1.6810112963959116e-05,157139.0,0.0008336568261220958,0.007633587786259542,1.0,10.993546700492846,216755,12.286527575920557,3
